AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KHC,KLAC,LBTYA,LBTYK,LILA,LILAK,LRCX,MAR,MAT,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTES,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,QRTEA,REGN,ROST,SBUX,SHPG,SIRI,STX,SWKS,SYMC,TMUS,TSCO,TSLA,TXN,ULTA,USD,VIAB,VOD,VRSK,VRTX,WBA,WDC,WYNN,XLNX,XRAY
41.42,227.71,271.72,92.82,151.4476,155.755,73.17,393.525,139.13,38.41,207.66,2022.292,84.32,248.0271,230.8,355.5,1997.73,97.27,44.16,90.2,64.7,117.96,327.66,35.6,235.81,48.94,74.56,199.085,37.49,77.47,111.62,32.13,29.66,35.62,81.995,118.8,32.91,94.975,131.44,58.43,163.195,82.53,45.84,46.35,77.4101,1201.12,1214.26,106.665,41.23,85.5089,251.4,369.15,69.3076,47.11,228.85,576.02,119.72,26.23,55.355,102.27,29.41,28.6,20.83,20.48,151.2499,132.6,15.815,79.2,43.0171,343.99,58.6121,114.96,45.3448,56.6,36.97,57.55,377.84,229.725,283.62,349.38,74.01,68.91,88.329,72.58,21.78,407.235,99.8896,56.8399,179.19,6.34,47.55,91.2975,21.4,70.6062,91.595,306.23,107.65,284.12,1,33.89,21.69,121.52,194.49,72.93,58.52,126.9263,81.08,38.07
41.41,227.79,271.72,92.82,151.4476,155.755,73.17,393.525,139.13,38.41,207.66,2021.63,84.31,248.0271,230.8,355.5,1997.73,97.27,44.16,90.145,64.7,117.96,327.66,35.6,235.81,48.94,74.56,199.11,37.49,77.29,111.62,32.13,29.66,35.62,81.995,118.6,32.91,94.975,131.44,58.43,163.33,82.53,45.84,46.35,77.4101,1200.32,1214.26,106.665,41.23,85.5089,251.4,369.15,69.3076,47.07,228.85,576.02,119.72,26.23,55.355,102.27,29.41,28.6,20.83,20.48,151.2499,132.6,15.815,79.2,43.0171,343.99,58.6121,114.975,45.27,56.6,36.97,57.55,377.83,229.725,283.6262,349.38,74.01,68.91,88.27,72.6,21.78,407.235,99.8896,56.79,179.19,6.34,47.5671,91.2975,21.4,70.6062,91.595,306.23,107.65,284.12,1,33.8513,21.69,121.52,194.49,72.93,58.52,127.3,81.08,38.07
41.41,227.6439,271.72,92.82,151.4476,155.755,73.17,393.525,139.13,38.38,207.66,2022.0984,84.31,248.0271,230.8,355.5,1997.73,97.27,44.16,90.05,64.7,117.96,327.66,35.61,235.7004,48.945,74.49,199.11,37.49,77.29,111.62,32.13,29.66,35.62,81.995,118.6948,32.91,94.975,131.44,58.43,163.255,82.53,45.84,46.35,77.4101,1200.32,1214.26,106.665,41.23,85.5089,251.4,369.15,69.3076,47.06,228.85,576.02,119.72,26.195,55.355,102.27,29.41,28.6,20.83,20.48,151.11,132.6,15.815,79.17,43.0171,343.99,58.6121,114.97,45.25,56.6,36.97,57.55,377.83,229.725,283.6262,349.38,74.01,68.91,88.14,72.6,21.78,407.235,99.8896,56.75,179.19,6.34,47.64,91.2975,21.4,70.6062,91.595,306.2201,107.65,284.12,1,33.8513,21.69,121.52,194.49,73.01,58.52,127.3,81.08,38.07
41.41,227.51,271.72,92.82,151.4476,155.755,73.17,393.525,139.13,38.38,207.66,2021.809,84.305,248.0271,230.8,355.5,1997.73,97.27,44.16,90.05,64.7,117.96,327.66,35.615,235.7004,48.945,74.49,199.1255,37.6,77.29,111.62,32.13,29.66,35.62,81.995,118.55,32.91,94.975,131.44,58.43,163.17,82.53,45.84,46.35,77.4101,1200.32,1214.26,106.665,41.23,85.5089,251.4,369.25,69.3076,47.0825,228.85,576.02,119.72,26.26,55.305,102.27,29.41,28.6,20.83,20.48,151.07,132.6,15.815,79.17,43.05,343.99,58.6121,114.99,45.26,56.6,36.97,57.55,377.5,229.725,283.5,349.38,74.01,68.91,88.14,72.6,21.78,407.235,99.8896,56.75,179.19,6.34,47.64,91.2975,21.4,70.6062,91.595,306.23,107.65,284.12,1,33.8513,21.69,121.52,194.49,73.01,58.52,127.3,81.08,38.07
41.41,227.4832,271.72,92.82,151.4476,155.6997,73.17,393.525,139.13,38.38,207.66,2021.809,84.3,248.095,230.8,355.5,1997.73,97.27,44.16,90.05,64.7,117.96,327.66,35.61,235.7004,48.945,74.49,199.1255,37.6,77.29,111.62,32.13,29.66,35.62,81.995,118.78,32.91,94.975,131.44,58.43,163.239,82.53,45.84,46.35,77.4101,1200.32,1214.26,106.665,41.23,85.5089,251.4,369.25,69.3076,47.128,228.53,576.999,119.72,26.2469,55.305,102.27,29.36,28.58,20.83,20.48,151.05,132.6,15.815,79.22,43.05,343.99,58.6121,114.99,45.27,56.6,36.97,57.55,377.5,229.725,283.3109,349.38,74.01,68.91,88.14,72.6,21.78,407.235,99.8896,56.75,179.19,6.34,47.64,91.2975,21.4,70.6062,91.595,306.182,107.65,284.12,1,33.8513,21.69,121.52,194.49,73.01,58.52,127.3,81.08,38.07
41.41,227.51,271.72,92.82,151.4476,155.6997,73.17,393.525,139.13,38.365,207.66,2021.809,84.3,248.095,230.8,355.5,1991.59,97.27,44.18,90.05,64.7,117.96,327.66,35.58,235.7004,48.945,74.54,199.145,37.6,77.29,111.62,32.16,29.66,35.62,81.995,118.71,32.91,95.23,131.465,58.43,163.24,82.53,45.855,46.35,77.48,1200.32,1214.26,106.665,41.23,85.5089,251.4,369.25,69.3076,47.08,228.44,577,119.72,26.2469,55.305,102.05,29.36,28.58,20.83,20.48,151.05,132.6,15.815,79.22,43.05,343.99,58.5477,114.97,45.27,56.6,36.97,57.46,377.5,229.725,283.32,349.19,74.01,68.625,88.14,72.51,21.78,407.235,99.8896,56.75,179.19,6.34,47.64,91.2975,21.4,70.6062,91.595,306.3776,107.65,284.12,1,33.8513,21.69,121.53,194.49,73.0703,58.5,127.3,81.08,38.07
41.4399,227.6088,271.8299,92.8499,151.4476,155.6997,73.17,393.53,139.13,38.36,207.66,2022.341,84.327,248.095,230.8,355.5,1991.59,97.27,44.18,90.05,64.7,117.96,327.66,35.56,235.7004,48.947,74.54,199.145,37.6,77.29,111.62,32.16,29.66,35.62,81.995,118.71,32.93,95.23,131.465,58.43,163.21,82.53,45.855,46.35,77.48,1200.32,1214.26,106.665,41.23,85.45,251.4,369.25,69.3076,47.035,228.345,577,119.72,26.2469,55.305,102.05,29.36,28.58,20.83,20.48,150.75,132.6,15.815,79.22,43.05,343.99,58.5477,114.975,45.275,56.6,36.97,57.46,377.6127,229.725,283.2601,349.19,74.32,68.625,88.14,72.5,21.78,407.235,99.8896,56.72,179.27,6.34,47.64,91.2975,21.4,70.6062,91.595,306.99,107.65,284.12,1,33.845,21.69,121.53,193.95,73.0703,58.5,127.3,81,38.07
41.4399,227.7425,271.8299,92.8499,151.4476,155.6997,73.17,393.53,139.13,38.36,207.66,2021.3988,84.43,248.095,231.0358,355.5,1991.59,98.32,44.18,90.05,64.7,117.96,327.66,35.56,235.7004,48.9429,74.5,199.145,37.6,77.29,111.62,32.16,29.66,35.62,81.995,118.78,32.92,95.23,131.465,58.4379,163.18,82.53,45.855,46.35,77.48,1199.38,1214.26,106.456,41.23,85.6,251.4,369.25,69.3076,47,228.345,577,119.72,26.245,55.305,102.05,29.36,28.58,20.83,20.48,150.75,132.6,15.815,79.22,43.0145,343.99,58.5477,114.98,45.27,56.6,36.97,57.46,377.6127,229.725,283.2493,349.19,74.32,68.76,88.07,72.49,21.78,407.16,99.8896,56.75,179.27,6.34,47.64,91.2975,21.4,70.6062,91.595,306.86,107.65,284.12,1,33.845,21.69,121.6,193.95,73.0703,58.5,127.3,81,38.07
41.4399,227.635,271.7,92.8499,151.4476,155.6997,73.17,393.85,139.13,38.36,207.745,2021.285,84.43,248.095,231.0358,355.5,1991.59,98.32,44.18,90.18,64.7,117.96,327.66,35.55,235.7004,48.945,74.45,199.12,37.6,77.29,111.62,32.16,29.66,35.62,81.995,118.78,32.92,95.23,131.465,58.4379,163.22,82.53,45.855,46.35,77.48,1199.38,1214.26,106.456,41.23,85.6,251.4,369.25,69.3076,46.99,228.2325,577,119.72,26.22,55.305,102.085,29.36,28.58,20.83,20.48,150.75,132.6,15.815,79.22,43,343.99,58.5477,114.96,45.2672,56.6,36.97,57.46,377.6992,229.725,283.105,349.19,74.2485,68.76,88.07,72.542,21.78,407.98,99.8896,56.75,179.27,6.34,47.64,91.2975,21.4,70.6062,91.595,306.7901,107.65,284.12,1,33.845,21.69,121.6,193.95,73.0703,58.5,127.3,80.94,38.07
41.4399,227.671,271.7,92.8499,151.4476,155.6997,73.12,393.85,139.13,38.36,207.775,2021.6061,84.43,248.1,231.0358,355.5,1991.59,98.32,44.18,90.05,64.7,117.96,327.66,35.55,235.7004,48.96,74.5,199.071,37.6,77.29,111.62,32.16,29.66,35.62,81.995,118.725,32.855,95.24,131.465,58.4379,163.14,82.53,45.855,46.35,77.41,1200.37,1214.26,106.69,41.23,85.7,251.4,369.25,69.3076,46.97,228.2325,577,119.72,26.21,55.305,102.085,29.36,28.58,20.83,20.48,150.81,132.6,15.815,79.22,43,343.99,58.5477,114.99,45.31,56.6,36.99,57.46,377.6579,229.725,283.125,349.19,74.2485,68.76,88.07,72.542,21.78,407.86,99.8896,56.75,179.27,6.34,47.64,91.2975,21.4,70.6062,91.595,306.2827,107.65,284.12,1,33.845,21.69,121.6,193.96,73.0101,58.5,127.3,80.94,38.07
